Date,Temperatur,Hujan,Arah Angin,Kelembaban,UV,Kecepatan Angin,Tekanan Udara
2022-08-06 10:49:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-12 14:09:59,0.0,0.6,0.0,0.0,0.0,0.0,0.0
2022-08-12 14:34:55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-16 11:28:33,0.0,0.4,0.0,0.0,0.0,0.0,0.0
2022-09-02 09:26:20,25.9,0.4,0.0,81.0,0.0,2.06,1010.2
2022-09-02 09:59:20,29.6,5.2,207.0,85.76,0.0,3.39,1009.5
2022-09-02 10:00:00,29.86,0.0,202.0,82.48,0.0,5.9,1009.48
2022-09-02 12:00:00,28.8,0.0,90.0,87.54,0.0,7.76,1007.64
2022-09-02 13:00:00,29.0,0.0,195.0,86.2,0.0,9.18,1007.18
2022-09-02 14:00:00,23.7,8.2,243.0,64.28,0.0,10.52,1007.72
2022-09-02 15:00:00,23.7,5.0,195.0,67.08,0.0,17.11,1006.56
2022-09-03 08:24:39,28.0,0.4,209.0,87.54,0.0,18.28,1009.66
2022-09-03 08:31:36,28.76,0.0,207.0,87.88,0.0,4.57,1009.62
2022-09-03 09:00:00,31.3,0.0,165.0,79.92,0.0,3.3,1009.5
2022-09-03 10:00:00,32.3,0.0,223.0,70.42,0.0,6.34,1008.74
2022-09-03 11:00:00,32.9,0.0,204.0,64.96,0.0,9.53,1008.3
2022-09-03 12:00:00,31.0,1.4,210.0,61.56,0.0,8.73,1007.3
2022-09-03 13:00:00,26.6,0.0,211.0,62.82,0.0,0.76,1006.5
2022-09-03 14:00:00,27.7,0.0,211.0,58.64,0.0,0.18,1005.56
2022-09-03 15:00:00,28.24,0.0,211.0,62.88,0.0,3.95,1005.1
2022-09-03 16:00:00,29.4,0.0,211.0,71.52,0.0,5.49,1005.0
2022-09-03 17:00:00,30.6,0.0,209.0,64.28,0.0,7.54,1005.48
2022-09-03 18:00:00,28.4,0.0,213.0,78.7,0.0,5.85,1005.96
2022-09-03 19:00:00,29.5,0.0,212.0,71.5,0.0,6.56,1006.62
2022-09-03 20:00:00,29.4,0.0,212.0,72.4,0.0,6.93,1007.5
2022-09-03 21:00:00,29.0,0.0,212.0,74.1,0.0,6.52,1008.04
2022-09-03 22:00:00,28.5,0.0,211.0,75.1,0.0,5.99,1008.8
2022-09-03 23:00:00,28.1,0.0,213.0,76.2,0.0,5.98,1008.94
2022-09-04 00:00:00,27.7,0.0,209.0,77.1,0.0,5.51,1008.38
2022-09-04 01:00:00,27.4,0.0,211.0,78.1,0.0,4.45,1007.62
2022-09-04 02:00:00,27.06,0.0,211.0,78.7,0.0,2.02,1007.12
2022-09-04 03:00:00,26.78,0.0,211.0,79.4,0.0,1.04,1006.98
2022-09-04 04:00:00,26.5,0.0,211.0,79.9,0.0,0.17,1006.76
2022-09-04 05:00:00,26.22,0.0,211.0,80.48,0.0,0.0,1006.94
2022-09-04 06:00:00,26.0,0.0,211.0,81.1,0.0,0.0,1007.58
2022-09-04 07:00:00,25.9,0.0,211.0,81.9,0.0,0.0,1008.04
2022-09-04 08:00:00,26.02,0.0,211.0,82.96,0.0,0.0,1008.42
2022-09-04 09:00:00,26.9,0.0,211.0,84.2,0.0,0.43,1008.4
2022-09-04 10:00:00,28.3,0.0,211.0,77.9,0.0,4.7,1007.96
2022-09-04 11:00:00,29.7,0.0,209.0,70.5,0.0,6.45,1007.06
2022-09-04 12:00:00,31.3,0.0,210.0,64.5,0.0,7.76,1006.1
2022-09-04 13:00:00,30.4,0.0,213.0,65.86,0.0,7.63,1005.2
2022-09-04 14:00:00,29.6,0.0,212.0,51.34,0.0,6.91,1004.6
2022-09-04 15:00:00,30.1,0.0,214.0,66.98,0.0,6.48,1004.4
2022-09-04 16:00:00,32.2,0.0,213.0,59.5,0.0,8.22,1004.32
2022-09-04 17:00:00,32.82,0.0,213.0,61.4,0.0,9.5,1004.64
2022-09-04 18:00:00,32.5,0.0,213.0,64.14,0.0,9.48,1005.4
2022-09-04 19:00:00,31.9,0.0,213.0,65.6,0.0,9.01,1006.18
2022-09-04 20:00:00,31.3,0.0,214.0,67.8,0.0,8.34,1006.94
2022-09-04 21:00:00,30.7,0.0,214.0,70.3,0.0,8.05,1007.46
2022-09-04 22:00:00,30.24,0.0,210.0,71.8,0.0,7.38,1007.78
2022-09-04 23:00:00,29.9,0.0,210.0,73.2,0.0,7.25,1007.88
2022-09-05 00:00:00,29.5,0.0,212.0,73.52,0.0,7.02,1007.58
2022-09-05 01:00:00,29.1,0.0,214.0,74.2,0.0,6.43,1006.9
2022-09-05 02:00:00,28.7,0.0,213.0,74.86,0.0,6.02,1006.52
2022-09-05 03:00:00,28.4,0.0,213.0,75.9,0.0,6.0,1006.56
2022-09-05 04:00:00,28.0,0.0,213.0,76.5,0.0,5.93,1006.8
2022-09-05 05:00:00,27.8,0.0,209.0,77.3,0.0,5.47,1007.1
2022-09-05 06:00:00,27.66,0.0,211.0,78.1,0.0,5.31,1007.94
2022-09-05 07:00:00,27.5,0.0,211.0,78.8,0.0,5.05,1008.2
2022-09-05 08:00:00,25.2,0.0,215.0,64.7,0.0,1.07,1008.9
2022-09-05 09:00:00,31.36,0.8,215.0,72.34,0.0,3.18,1008.8
2022-09-05 09:12:23,32.6,0.4,7.0,69.2,0.0,6.88,1008.74
2022-09-05 10:00:00,33.1,0.0,52.0,70.44,0.0,7.08,1008.2
2022-09-05 11:00:00,34.26,0.0,211.0,61.44,0.0,8.24,1007.34
2022-09-05 12:00:00,34.5,0.8,236.0,62.66,0.0,8.42,1006.6
2022-09-05 13:00:00,33.7,0.0,210.0,63.42,0.0,9.72,1005.8
2022-09-05 14:00:00,33.6,0.0,222.0,62.94,0.0,10.97,1004.5
2022-09-05 15:00:00,33.6,0.0,211.0,67.1,0.0,11.25,1003.94
2022-09-05 16:00:00,31.2,0.0,227.0,71.16,0.0,17.15,1004.12
2022-09-05 17:00:00,30.0,0.0,210.0,71.98,0.0,16.06,1004.5
2022-09-05 18:00:00,27.84,0.0,205.0,86.94,0.0,5.72,1006.28
2022-09-05 19:00:00,26.8,0.0,240.0,89.86,0.0,2.73,1007.16
2022-09-05 20:00:00,26.42,0.0,147.0,89.9,0.0,1.26,1008.08
2022-09-05 21:00:00,25.3,0.0,185.0,83.14,0.0,1.13,1008.64
2022-09-05 22:00:00,24.4,0.0,223.0,77.58,0.0,1.05,1008.5
2022-09-05 23:00:00,24.7,0.0,223.0,76.9,0.0,0.0,1008.56
2022-09-06 00:00:00,24.5,0.0,195.0,75.82,0.0,0.25,1008.1
2022-09-06 01:00:00,23.9,0.0,185.0,64.3,0.0,0.28,1007.4
2022-09-06 02:00:00,24.04,0.0,185.0,64.1,0.0,1.56,1006.92
2022-09-06 03:00:00,23.9,0.0,213.0,63.7,0.0,2.18,1006.6
2022-09-06 04:00:00,23.8,0.0,210.0,63.44,0.0,0.14,1006.4
2022-09-06 05:00:00,23.8,0.0,210.0,66.0,0.0,0.0,1006.5
2022-09-06 06:00:00,23.9,0.0,244.0,63.3,0.0,0.09,1007.56
2022-09-06 07:00:00,24.4,0.0,244.0,61.28,0.0,3.8,1008.22
2022-09-06 08:00:00,24.9,0.0,189.0,73.32,0.0,2.55,1009.0
2022-09-06 09:00:00,26.3,0.0,203.0,87.76,0.0,1.09,1009.2
2022-09-06 10:00:00,27.2,0.0,234.0,90.2,0.0,3.85,1009.16
2022-09-06 11:00:00,27.32,0.0,196.0,90.22,0.0,3.57,1008.28
2022-09-06 12:00:00,28.76,0.0,225.0,86.94,0.0,4.88,1007.42
2022-09-06 13:00:00,30.8,0.0,207.0,74.88,0.0,8.97,1006.1
2022-09-06 14:00:00,27.1,0.0,214.0,90.0,0.0,5.99,1005.82
2022-09-06 15:00:00,26.3,0.0,195.0,90.48,0.0,7.04,1005.4
2022-09-06 16:00:00,26.8,0.0,220.0,90.12,0.0,8.3,1005.5
2022-09-06 17:00:00,26.6,0.0,211.0,90.7,0.0,4.15,1005.8
2022-09-06 18:00:00,25.5,0.0,205.0,84.9,0.0,0.59,1006.62
2022-09-06 19:00:00,25.1,0.0,203.0,80.9,0.0,0.81,1007.76
2022-09-06 20:00:00,24.8,0.0,203.0,71.5,0.0,0.19,1008.14
2022-09-06 21:00:00,24.4,0.0,215.0,63.94,0.0,0.0,1008.38
2022-09-06 22:00:00,24.2,0.0,218.0,64.1,0.0,0.09,1009.36
2022-09-06 23:00:00,24.2,0.0,218.0,65.6,0.0,0.0,1009.4
2022-09-07 00:00:00,23.7,0.0,218.0,63.8,0.0,0.0,1009.0
2022-09-07 01:00:00,23.56,0.0,218.0,66.1,0.0,0.0,1008.6
2022-09-07 02:00:00,23.4,0.0,218.0,66.9,0.0,0.0,1007.66
2022-09-07 03:00:00,23.1,0.0,218.0,67.3,0.0,0.09,1007.46
2022-09-07 04:00:00,23.1,0.0,189.0,70.6,0.0,0.0,1007.62
2022-09-07 05:00:00,22.7,0.0,189.0,71.0,0.0,0.0,1007.54
2022-09-07 06:00:00,22.6,0.0,189.0,71.2,0.0,0.0,1008.26
2022-09-07 07:00:00,24.1,0.0,189.0,80.1,0.0,0.0,1008.96
2022-09-07 08:00:00,28.9,0.0,189.0,89.76,0.0,1.51,1009.5
2022-09-07 09:00:00,31.3,0.0,195.0,79.5,0.0,4.96,1010.0
2022-09-07 10:00:00,32.8,0.0,195.0,72.76,0.0,6.75,1009.72
2022-09-07 11:00:00,32.6,0.0,239.0,72.16,0.0,6.5,1009.3
2022-09-07 12:00:00,33.4,0.0,203.0,67.6,0.0,8.64,1007.9
2022-09-07 13:00:00,25.6,0.0,225.0,89.64,0.0,9.88,1007.8
2022-09-07 14:00:00,28.3,0.6,116.0,88.56,0.0,4.03,1006.64
2022-09-07 15:00:00,31.2,0.0,337.0,70.18,0.0,6.87,1005.9
2022-09-07 16:00:00,31.0,0.0,218.0,73.84,0.0,7.22,1005.86
2022-09-07 17:00:00,28.3,2.0,213.0,68.76,0.0,6.83,1006.5
2022-09-07 18:00:00,27.0,0.0,211.0,71.1,0.0,2.06,1007.0
2022-09-07 19:00:00,26.2,0.0,211.0,76.96,0.0,0.0,1008.22
2022-09-07 20:00:00,27.4,0.0,211.0,83.6,0.0,4.05,1009.4
2022-09-07 21:00:00,27.7,0.0,209.0,77.78,0.0,5.34,1010.1
2022-09-07 22:00:00,27.24,0.0,211.0,80.56,0.0,2.88,1010.68
2022-09-07 23:00:00,25.1,0.0,205.0,69.64,0.0,1.25,1010.72
2022-09-08 00:00:00,26.7,0.0,205.0,74.84,0.0,0.0,1010.0
2022-09-08 01:00:00,26.9,0.0,205.0,77.98,0.0,0.0,1009.3
2022-09-08 02:00:00,26.7,0.0,211.0,81.2,0.0,0.09,1008.62
2022-09-08 03:00:00,26.6,0.0,211.0,83.4,0.0,0.0,1008.64
2022-09-08 04:00:00,26.5,0.0,211.0,85.16,0.0,0.0,1008.82
2022-09-08 05:00:00,26.4,0.0,211.0,87.2,0.0,0.0,1009.22
2022-09-08 06:00:00,26.3,0.0,211.0,88.0,0.0,0.0,1009.88
2022-09-08 08:24:23,26.3,0.0,211.0,92.8,0.0,0.18,1011.84
2022-09-08 08:28:00,26.4,0.0,238.0,92.78,0.0,2.0,1011.9
2022-09-08 09:00:00,25.8,0.0,246.0,92.0,0.0,1.48,1012.6
2022-09-08 10:00:00,25.8,0.0,218.0,91.24,0.0,1.38,1012.68
2022-09-08 11:00:00,25.7,0.0,225.0,89.82,0.0,5.46,1012.1
2022-09-08 12:00:00,25.3,0.2,234.0,83.42,0.0,8.7,1011.4
2022-09-08 13:00:00,26.0,0.0,209.0,83.82,0.0,11.26,1010.3
2022-09-08 15:00:00,26.7,0.0,221.0,93.22,0.0,8.93,1008.7
2022-09-08 16:00:00,26.4,0.0,207.0,92.9,0.0,5.04,1008.34
2022-09-08 17:00:00,25.6,0.0,199.0,84.28,0.0,2.57,1008.1
2022-09-08 18:00:00,24.8,0.0,215.0,66.7,0.0,0.64,1008.34
2022-09-08 19:00:00,24.64,0.0,205.0,63.5,0.0,1.27,1008.9
2022-09-08 20:00:00,24.5,0.0,193.0,66.28,0.0,0.19,1009.98
2022-09-08 21:00:00,24.5,0.0,236.0,66.7,0.0,0.36,1010.7
2022-09-08 22:00:00,24.3,0.0,218.0,66.8,0.0,0.37,1011.22
2022-09-08 23:00:00,24.0,0.0,218.0,67.7,0.0,0.0,1010.96
2022-09-09 00:00:00,24.08,0.0,218.0,70.78,0.0,0.17,1010.52
2022-09-09 01:00:00,24.1,0.0,211.0,71.4,0.0,0.18,1009.7
2022-09-09 02:00:00,24.0,0.0,218.0,71.1,0.0,0.0,1009.08
2022-09-09 03:00:00,23.9,0.0,218.0,73.6,0.0,0.0,1008.54
2022-09-09 04:00:00,23.7,0.0,225.0,72.8,0.0,0.54,1008.4
2022-09-09 05:00:00,23.4,0.0,218.0,71.8,0.0,0.4,1008.56
2022-09-09 06:00:00,23.3,0.0,218.0,73.88,0.0,0.18,1009.4
2022-09-09 07:00:00,25.18,0.0,218.0,79.56,0.0,0.0,1010.1
2022-09-09 08:00:00,26.8,0.0,209.0,94.92,0.0,0.67,1010.5
2022-09-09 09:00:00,29.4,0.0,66.0,86.0,0.0,3.47,1011.18
2022-09-09 10:00:00,30.0,0.0,212.0,81.44,0.0,4.93,1010.94
2022-09-09 11:00:00,31.3,0.0,195.0,71.98,0.0,6.34,1010.2
2022-09-09 12:00:00,29.84,0.0,238.0,79.7,0.0,3.74,1009.8
2022-09-09 13:00:00,30.6,0.0,222.0,74.1,0.0,5.48,1008.56
2022-09-09 14:00:00,31.2,0.0,225.0,73.92,0.0,7.66,1007.58
2022-09-09 15:00:00,30.3,0.0,229.0,75.68,0.0,7.81,1007.42
2022-09-09 16:00:00,27.8,0.0,180.0,79.1,0.0,8.08,1008.08
2022-09-09 17:00:00,24.7,0.0,142.0,93.2,0.0,3.73,1009.0
2022-09-09 18:00:00,23.5,0.2,70.0,84.0,0.0,2.59,1009.9
